Cognomi,Numero
TARANTINI,47
ARMILLIS,46
CATANZARO,46
CITO,46
COLELLI,46
DE FILIPPIS,46
GOFFREDO,46
LUCIA,46
MARAZIA,46
MARCHELLO,46
MARTUCCI,46
ROSSETTI,46
SICILIANO,46
TANA,46
TRICARICO,46
BORGIA,45
CAFIERO,45
CAPIROLA,45
CAPPILLI,45
CASTELLUCCIO,45
CUCURACHI,45
FERSINI,45
FRANCHINI,45
GUIDA,45
LECCISO,45
MAGGIULLI,45
PAGANO,45
SANSO',45
SPARAPANE,45
TALESCO,45
VIVA,45
ARNESANO,44
BATTISTA,44
CAFARO,44
IMBRIANI,44
LORENZO,44
MOLENDINI,44
MORCIANO,44
PARITI,44
POTENZA,44
RELLA,44
SAMBATI,44
STOMEO,44
BOVE,43
CAPILUNGO,43
CARRISI,43
LATINO,43
LO DESERTO,43
LOMBARDI,43
MELELEO,43
PODO,43
REGGIO,43
STEFANIZZI,43
VERGORI,43
BAGLIVI,42
BERGAMO,42
CORDELLA,42
D'AGOSTINO,42
D'AMELIO,42
DELL'ATTI,42
DELLI NOCI,42
FUSO,42
GUARASCIO,42
INDRACCOLO,42
IPPOLITO,42
LINCIANO,42
MARTINO,42
NDIAYE,42
PALANO,42
SALIERNO,42
SCARDIA,42
SCIOLTI,42
VIRGULTO,42
CROCE,41
GIANFREDA,41
KAUR,41
MILLI,41
POSO,41
SANSONETTI,41
TRAMACERE,41
BERNARDINI,40
CATALDI,40
CORSANO,40
DE LORENZI,40
DELLA BONA,40
GRANDE,40
MAGLIO,40
PADULA,40
RIEZZO,40
RUBINO,40
RUGGIERO,40
RUGGIO,40
SANTO,40
SCARPA,40
SORRENTINO,40
TROTTA,40
VERRI,40
CACCIATORE,39
CAVONE,39
CHEN,39
GUARINO,39
MICELI,39
MINERVA,39
NICOLETTI,39
PORTALURI,39
RICCARDI,39
SERINO,39
STASI,39
VENTURA,39
BLEVE,38
BRIGANTI,38
CORCIULO,38
DI DONFRANCESCO,38
FATANO,38
GENOVASI,38
GORGONI,38
LUCERI,38
MICELLI,38
MONTAGNA,38
MORTELLA,38
MURRA,38
NIGRO,38
NOCCO,38
NOTARO,38
POLIMENO,38
VILLA,38
BACULO,37
BASILE,37
DE CICCO,37
DE PASCALI,37
FALCO,37
FOSCARINI,37
ISOLA,37
MANCO,37
MANGIA,37
MARUCCIA,37
MONTEDURO,37
MOSCHETTINI,37
PECORARO,37
PUGLIESE,37
VERDESCA,37
CAPOZZA,36
DE DONATIS,36
DEL GIUDICE,36
FERRANTE,36
GALATI,36
GIURI,36
LEGGIERI,36
MEZZI,36
NISI,36
PENNETTA,36
PISANELLO,36
SCHITO,36
SERAFINI,36
BASCIA',35
CALASSO,35
CASTO,35
DIOP,35
FANELLI,35
FILOGRANA,35
GIORGINO,35
LIGUORI,35
MEROLA,35
MONTEFUSCO,35
NESTOLA,35
PALMARINI,35
PETRUCCI,35
PICCINNI,35
PULIMENO,35
SILVESTRI,35
SOLOMBRINO,35
SOW,35
TREVISI,35
BENVENUTO,34
CAIONE,34
COLI',34
D'APRILE,34
DE BENEDETTO,34
D'ERRICO,34
GUGLIELMI,34
LEGITTIMO,34
MALI,34
MANFREDA,34
MONGELLI,34
NICOLARDI,34
PASSABI',34
VALENTINI,34
ZHOU,34
CARLUCCI,33
CARPENTIERI,33
CIMINIELLO,33
CIURLIA,33
CORNACCHIA,33
DE GIUSEPPE,33
DE MONTE,33
DELI,33
DIMITRI,33
GAROFALO,33
IMPERATO,33
LENTINI,33
MALORGIO,33
MARSANO,33
MUCI,33
PROTOPAPA,33
SICULELLA,33
STAMERRA,33
CASALINO,32
CASAVOLA,32
CIULLO,32
D'AMBROSIO,32
ESTRAFALLACES,32
GABELLONE,32
GIANGRANDE,32
GRAZIOLI,32
IANNE,32
LITTA,32
MINONNE,32
MOSCAGIULI,32
SCIPPA,32
TROSO,32
VISCONTI,32
BONGIORNO,31
DE VITO,31
GIANNATTASIO,31
GIANNELLI,31
MAIORANO,31
MASSAFRA,31
MAURO,31
MICELLA,31
MORETTI,31
PINO,31
RUGGERI,31
SILENO,31
SPERTI,31
TAMBORRINO,31
TURRISI,31
VILLANUEVA,31
ZOLLINO,31
CARRINO,30
CESANO,30
CIOFFI,30
CONVERSANO,30
COTARDO,30
DELLE DONNE,30
LIBERTINI,30
MAZZO,30
OLIVIERI,30
PASSIONE,30
PRIMICELI,30
PUCE,30
PULLI,30
RAMPINO,30
RAPANA',30
SCALINCI,30
SCARCIGLIA,30
TEDESCO,30
ACQUAVIVA,29
ALLEGRO,29
AMMASSARI,29
CARACUTA,29
DE FRANCESCO,29
FERRAMOSCA,29
