Cognomi,Numero
PETRERA,11
PIARULLI,11
PIGNATIELLO,11
PLANTERA,11
PORPORA,11
PREDA,11
RACANELLI,11
RAMIREZ,11
ROSSANO,11
SCARAFILE,11
SOLARI,11
SPARASCI,11
SPINOLLA,11
STABILI,11
STAMER,11
TALA',11
TOFFOLETTI,11
TORINO,11
TROMBETTA,11
TRONO,11
TURCHIULI,11
TURI,11
VALIANI,11
VALLI,11
VERNICH,11
VERNOLE,11
ZANCHI,11
ZIPPO,11
AMOROSO,10
ANELLI,10
ANGLANA,10
ANGLANO,10
ASSETTATI,10
ASTUTO,10
AUFIERI,10
BAGORDO,10
BAIG,10
BALENA,10
BARBANO,10
BARBARITO,10
BARBARO,10
BARBETTA,10
BARDINELLA,10
BARDOSCIA,10
BARICELLI,10
BARTOLOTTI,10
BELOSO,10
BERNARDO,10
BIDETTI,10
BISCEGLIE,10
BLAGO,10
BOCCUZZI,10
BONAZZI,10
BORELLI,10
BRACALE,10
BRIAMO,10
BRIZIO,10
CALDARAZZO,10
CALZOLARO,10
CANNALIRE,10
CAPANO,10
CARTENI',10
CASTRIOTA SCANDERBEG,10
CATANESE,10
CHIATANTE,10
CINABRO,10
CIVINO,10
CLEMENTE,10
COCCO,10
CONOCI,10
CUTO',10
D'AURELIO,10
DE GIOSA,10
DE NIGRIS,10
DE NITTO,10
DE RUBERTIS,10
DE SICOT,10
DE STEFANO,10
DEL PRETE,10
DELL'ANTOGLIETTA,10
D'INNOCENZO,10
D'OSTUNI,10
DUMA,10
ESTA',10
FATTIZZO,10
FAVONIO,10
FERRIGNO,10
FIERA,10
FONTE,10
FRAGASSI,10
GALIZIA,10
GIARACUNI,10
GIGLI,10
GUARNIERI,10
HUANG,10
HYSI,10
INDIVERI,10
LABRIOLA,10
LAFORGIA,10
LEOPARDI,10
LETTERE,10
LICCHETTA,10
LIONETTO,10
LOCOCCIOLO,10
LOMONACO,10
LONGOBARDI,10
LONOCE,10
MAGNANI,10
MANFREDI,10
MARKU,10
MARSELLA,10
MARTELLO,10
MASIELLO,10
MBOUP,10
MEDERIZI,10
MELEDORO,10
MICELLO,10
MILETI,10
MIRTO,10
MOGAVERO,10
MONTEFRANCESCO,10
MOSCARA,10
MURA,10
MURATORE,10
NARDELLI,10
NERI,10
NOTARNICOLA,10
ORONDINI,10
OZZI,10
PALIAGA,10
PAPALEO,10
PATERA,10
PATROCINIO,10
PATRUNO,10
PEDIO,10
PERLA,10
PETRUNI,10
PETRUZZO,10
PISANI,10
PIZZI,10
PRASTARO,10
PULITO,10
RACO,10
RAINO',10
RAONE,10
RODIO,10
ROMEO,10
ROSELLI,10
ROTINO,10
RUBERTO,10
RUBICHI,10
SACCOCCIA,10
SACCOMANNO,10
SERACCA GUERRIERI,10
SICOLI,10
SISINNI,10
STURDA',10
SUPINO,10
SVENTURA,10
TALO',10
TAMBURINI,10
TASCO,10
TERRAGNO,10
TESTINI,10
TUCCARI,10
URRO,10
VALERINI,10
VETERE ROSSI,10
VIANNEI,10
VIGLIOTTI,10
VISPIANO,10
ABATE,9
ABBADESSA,9
ACCETTURA,9
ACLUTTIE,9
AHMED,9
ANDRIANI DE VITO,9
ANGELINI,9
ARIGLIANI,9
AUSTRIA,9
AVERSA,9
BARBATO,9
BASKARAN,9
BELI,9
BELLINI,9
BELLOMO,9
BENENATI,9
BENVENGA,9
BOCCADAMO,9
BONETTI,9
BONFANTINI,9
BOVENGA,9
BUCATO,9
BUFFELLI,9
BUIZZA,9
CAGGIULA,9
CAIULI,9
CALDERAZZO,9
CALVI,9
CAMPANELLA,9
CANCELLIERE,9
CANNITO,9
CANTELE,9
CAPODIECI,9
CAPORALETTI,9
CARAMIA,9
CARDINALE,9
CARRA,9
CASTELLANO VISAGGI,9
CASTORO,9
CAVALIERE,9
CECERE,9
CESIRI,9
CHIMIENTI,9
CICIRILLO,9
CICOIRA,9
COLASANTO,9
COLITTA,9
COLLA,9
COLOMBO,9
CONSALES,9
CONTURSI,9
CORONEO,9
DA VILLANOVA,9
DE BONIS,9
DE CAGNA,9
DE CRISTOFARO,9
DE GENNARO,9
DE NATALE,9
DE PASCA,9
DE SARIO,9
DE SIATO,9
DE SIMEIS,9
DI FRANCESCO,9
DI GIUSEPPE,9
DI MOLA,9
DOLLORENZO,9
DONADEI,9
DRAGONE,9
ERPETE,9
FARANDA CORDELLA,9
FERRARESE,9
FERRIERO,9
FILIPPO,9
FORMICA,9
FRIOLO,9
FUNEL,9
GARZYA,9
GAZZABIN,9
GIOIA,9
GIORGIO,9
GIRASOLI,9
GUBERTI,9
HASANAJ,9
HERNANDEZ,9
ILAGAN,9
IMPERIALE,9
LANZILOTTO,9
LAPORTA,9
LEGHAF,9
LEMBO,9
LEPORE,9
LICHERI,9
LICIGNANO,9
LIKA,9
LOFINO,9
LOIOLA,9
LUBELLO,9
LUCARELLI,9
LUCIANI,9
MAGGIONI,9
MAGI,9
MAGNOLO,9
MALLARDI,9
MANALO,9
MANICO,9
MARANDO,9
MARATI,9
MARINOSCI,9
MASCIA,9
MELLI,9
MENGOLI,9
MILONE,9
MILORO,9
MINGOLLA,9
MINICHIELLO,9
MOCAVERO,9
MORLANO,9
MORLEO,9
MOSCA,9
MOUSRIF,9
MUIA,9
MUNAFO',9
MUNNO,9
MUSCA,9
MUSCATELLO,9
MUTISI,9
NEGRI,9
NESTORE,9
NILO,9
ONORINI,9
PACODA,9
PAGONE,9
PANCOSTA,9
PELLICANI,9
PETESE,9
PIAZZA,9
PIRO,9
PISANO,9
PISTILLI,9
PITTINI,9
PIZZUTO,9
PONZIO,9
PONZO,9
PRESTA,9
QUINTO,9
RADI,9
RAUSA,9
RIMA,9
ROSA,9
SALJA,9
SANASI,9
SANTINO,9
SCALZO,9
SCHIROSI,9
SCOLLATO,9
SIGNORILE,9
SILLAVI,9
SINISTRO,9
SODO,9
SPORTELLI,9
STAFFIERI,9
STAN,9
STENDARDO,9
SURIANO,9
TADDEI,9
TANIELI,9
TOSCHI,9
TOTISCO,9
TOTO,9
TRENTA,9
TRESCA,9
TRIGGIANI,9
UBALDO,9
VACCA,9
VERRICO,9
VICENTELLI,9
VITA,9
ZAMBETTA,9
GIUGNO,8
ADORNO,8
AGNELLO,8
ALAM,8
AMANTE,8
AMELA,8
AMICUCCI,8
AMORUSO,8
ANTONICELLI,8
ANTONIOZZI,8
APICELLA FIORENTINO,8
APOLLO,8
ARASULA,8
ARESTA,8
ARNONE,8
ASSIRO,8
AVVEDUTO,8
BALDACCI,8
BALESTRA,8
BARRETTA,8
BARTOLUCCI,8
BELGIOIOSO,8
BELLUSCI,8
BOCCASSINI,8
BONERBA,8
BRAMATO,8
BUJA,8
CACUDI,8
CALI',8
CALIANDRO,8
CALISI,8
CAMARDELLA,8
CAMASTRA,8
CANNABONA,8
CANNAZZA,8
CANTARINI,8
CAPOLONGO,8
CAPOZZI,8
CARRASSI,8
CASALINI,8
CASTELLI,8
CAUS,8
CAUSO,8
CAZZOLLA,8
CEZZA,8
CIANFANO,8
CIFELLI,8
CILIBERTI,8
CINOTTI,8
CIPRIANO,8
CIRIELLI,8
COCCIOLI,8
COLAIANNI,8
COLAPIETRO,8
COLLURA,8
COLORI,8
CONTUZZI,8
CONVERTINO,8
CORIANDRO,8
COSSA,8
COSTADURA,8
CREMONESINI,8
CRETY,8
CRISIGIOVANNI,8
CRISPINO,8
CUCCI,8
CUCINELLI,8
CUTRINO,8
DAI,8
DAL DEGAN,8
DANTES,8
D'ARIENZO,8
D'ARPA,8
DE GAETANI,8
DE GRISANTIS,8
DE MAGISTRIS,8
DE MEIS,8
DE PAOLI,8
DE RAZZA,8
DE SALVO,8
DE TROIA,8
DE VITTORIO,8
DEL FIUME,8
DEL MONTE,8
DEL PIANO,8
DELIJA,8
DELLA FORTUNA,8
DELL'ANNA MISURALE,8
DI CORATO,8
DI GENNARO,8
DI MATTINA,8
DI MURO,8
DI PIETRO,8
DIALLO,8
DIOUME,8
ERRIQUEZ,8
FALEO,8
FAZIO,8
FELICONI,8
FERSINO,8
FISCHETTI,8
GARCIA,8
GARGARO,8
GASSI,8
GHIONDA,8
GIAMPAOLO,8
GIANNOTTI,8
GIRARDO,8
HE,8
IANNI,8
IASELLA,8
INDELLICATI,8
INDRIZZI,8
INNOCENTE,8
IVANOVA,8
LAI,8
LAMACCHIA,8
LANZILOTTI,8
LECCESE,8
LECCISI,8
LEZZI DE MASI,8
LICCHELLI,8
LIFONSO,8
LILLO,8
LIMELLI,8
LIMONGELLI,8
LO BASSO,8
MACELLA,8
MACRIPO',8
MAFFEI,8
MAIELLA,8
MALVAROSA,8
MANDURRINO,8
MANELI,8
MARCIANTE,8
MARGHERITI,8
MARSEGLIA,8
MARTELLI,8
MARTIGNANO,8
MARTINUCCI,8
MARZIO,8
MASALA,8
MASI,8
MASSI,8
MEDAGLI,8
MELCARNE,8
MELLE,8
MEMMI,8
MENGA,8
MESSA,8
MILELLA,8
MIRIZZI,8
MOLA,8
MOLLESE,8
MORO,8
MOSCATELLI,8
MUHAMMAD,8
MUNGELLI,8
MURAGLIA,8
MURRI,8
NAVARATNAM,8
NAVARRO,8
NESTA,8
NICCHIARICO,8
NINNO,8
OLIANI,8
ORLANDI,8
OTTOMANO,8
PALMARIGGI,8
PAOLO,8
PAPALATO,8
PAPINI,8
PAPPADA',8
PERGOLA,8
PERRUCCI,8
PESCE,8
PETKOVA,8
PETRIOLI,8
PIEMONTESE,8
PIGNATARO,8
PIRAS,8
PISCHEDDA,8
PLENTEDA,8
PRIMITIVO,8
PRINCIPE,8
PROIETTI,8
RAME,8
RAMIRES,8
RESCIO,8
RESTANTE,8
RESTIA,8
REYES,8
RIELLI,8
RIOTTI,8
ROMOLI,8
ROTUNDO,8
SANNINO,8
SANTALOIA,8
SARDONE,8
SASSO,8
SAVINA,8
SCANU,8
SCARDICCHIO,8
SCARSELLA,8
SCATIGNA,8
SCHIRALDI,8
SCIACOVELLI,8
SCORZA,8
SENSIBILE,8
SHARMA,8
SINDACO,8
SPAGNUOLO,8
SPATA,8
SPORTILLO,8
STORELLI,8
STRICCHIOLA,8
SUMMA,8
TACCONE,8
TAFURI,8
TAK,8
TORTORA,8
TRAMONTE,8
TRAVERSA,8
TRILLO,8
TRINCHESE,8
TUCCI,8
UGENTI,8
VENTRELLA,8
VERDICHIZZO,8
VIGNESWARAN,8
VITIELLO,8
XU,8
ZINEDDINE,8
ZINGARELLI,8
ZOCCO,8
ABEL,7
ABRENICA,7
AIERBA,7
ALESSANDRI',7
ALESSIO,7
ALLEGRINI,7
ALTOMARE,7
AMARANTO,7
AMENDOLA,7
ANGIULLI,7
ANGLANI,7
ANTICO,7
AQUARIO,7
AVDIJAJ,7
AZZURRETTO,7
BALDASSERINI,7
BARDARO,7
BARRIERA,7
BECCARISI,7
BEJTAJ,7
BISCOZZI,7
BIZZOCO,7
BLANDINI,7
BORRUTO,7
BOSCARINO,7
BRACCIALE,7
BRACCIO,7
BRECCIAROLLA,7
BROTTO,7
BUCCI,7
BUCCOLIERO,7
BUDANO,7
BUFI,7
BUGGEMI,7
CACCETTA,7
CALABRETTO,7
CALIGIURI,7
CALVARUSO,7
CANTINI,7
CAPITANIO,7
CAPOCELLI,7
CAPPA,7
CAPRARO,7
CARAFA,7
CARALLO,7
CARDUCCI,7
CARNEVALE,7
CARRONE,7
CARTANI',7
CASCIONE,7
CENCI,7
CHIRIENTI,7
CIANNAMEA,7
CINGOLANI,7
CIRFERA,7
COCLITE,7
CODAZZO,7
COLITTI,7
COMI,7
CORALES,7
CRESPINO,7
CUOMO,7
CUPIRAGGI,7
CURCIO,7
D'AMBLE',7
DAMIANI,7
D'AMORE,7
D'ATTIS,7
DE AUSTRIA,7
DE DURANTE,7
DE NOTARIIS,7
DE NUZZO,7
DE SPOTO,7
DE TUGLIE,7
DEL BENE,7
DEL GROSSO,7
DELLA NOTTE,7
DEMMA,7
DERVISHI,7
DI BATTISTA,7
DI CANDIA,7
DI LEO,7
DIARRA,7
DIENE,7
DOLCE,7
DOS SANTOS,7
DUBLA,7
DURINI,7
EPICOCO,7
FAVATANO,7
FEDELIN,7
FELICONE,7
FERRETTI,7
FILOTICO,7
FIORELLA,7
FOLLE,7
FRANCAVILLA,7
FRANCIA,7
FRANCIOSO,7
FRAPPI,7
FREZZA,7
FUGGIANO,7
GALLI,7
GAMBINO,7
GARUZZI,7
GHELMEGEANU,7
GIAMMARRUTO,7
GIARDINIERO,7
GIDIULI,7
GIOFFREDA,7
GRAVANTE,7
GRECUCCIO,7
GREGORI,7
GRIMA,7
GUARIGLIA,7
GUERRIERO,7
HUSSAIN,7
IMMORLANO,7
INCORONATO,7
INGLETTO,7
INNOCENZI,7
IOUDIOUX,7
JADOURI,7
KAJTAZI,7
KANDASAMY,7
LA GRECA,7
LANZALUNGA,7
LENZI,7
LIPARI,7
LISSA,7
LOPARCO,7
LOPEZ Y ROYO,7
LOPRIENO,7
LOTITO,7
MAGARELLI,7
MAGLIOCCO,7
MAIRO,7
MALAGNINO,7
MANICA,7
MARTINESE,7
MARTUSCIELLO,7
MAZZARA,7
MEGHA,7
MEKULOVIC,7
MERENDA,7
MICHELI,7
MICOLANI,7
MISSERE,7
MITRUCCIO,7
MOHAMMED,7
MOLLAIAN,7
MORGAGNI,7
MORIGINO,7
MUJAJ,7
MURATOVIC,7
MUSILLO,7
NATALIA,7
NENNA,7
NIKOLIC,7
NITTI,7
NUTRICATO,7
OCCHINERI,7
ORLANDUCCI,7
ORTESE,7
PACELLA COLUCCIA,7
PALINO,7
PALMIOTTA,7
PAPI,7
PARASIDO,7
PASANISI,7
PATIANNA,7
PATRIZI,7
PELAGALLI,7
PELLERANO,7
PELUSIO,7
PERILLI,7
PERNICE,7
PERNIOLA,7
PEZZULLA,7
PICCIOTTO,7
PICO,7
PIETRARELLI,7
PIGNATELLI SPINAZZOLA,7
PINI,7
PIRI,7
PIRRI,7
PISTOIA,7
POLONI,7
POPESCU,7
PROCOPIO,7
PROFILO,7
PRUDENZANO,7
QUITO,7
RACANIELLO,7
RAELI,7
RAIMONDI,7
RIBEZZO,7
RISPOLI,7
RODELLI,7
ROMANAZZI,7
ROMANELLO,7
RONZINI,7
RONZINO,7
RUGGIERI FAZZI,7
SABATELLI,7
SAITI,7
SALENTO,7
SALVAROSA,7
SALVINI,7
SAMBUCHI,7
SAMPIERI,7
SANDU,7
SARINELLI,7
SASIKUMAR,7
SAVINELLI,7
SCARPETTI,7
SCOPECE,7
SELMI,7
SENSALES,7
SERRACCA,7
SIMEONE,7
SINANI,7
SIVAKUMAR,7
SOLITO,7
SPARVIERO,7
SPEDITO,7
SPERANZA,7
SPESSI,7
SPIRTO,7
STIGLIANO,7
STOMACI,7
STRUSI,7
SULKO,7
SUPPRESSA,7
SURAJ,7
SY,7
TAMBORRELLA,7
TAMMA,7
TARRICONE,7
TIRRITO,7
TOLOMEO,7
TOMANAN,7
TRAIANI,7
TREDICI,7
TRIANNI,7
TRIFANCE,7
TURCHI,7
ULIVO,7
VADRUCCI,7
VALENTI,7
VALLE,7
VARALLO,7
VAROLA,7
VERSIENTI,7
VILLANI LUBELLI,7
VITALI,7
VOZZA,7
YE,7
ZAGARI,7
ZINNARI,7
ZIZZA,7
ABATELILLO,6
ABBATE,6
ABBRESCIA,6
ADILARDI D'AQUINO,6
AMOROSI,6
ANDRIOLA,6
ANDRIOLO,6
ANDRIULO,6
ANGIULI,6
ANGOLANO,6
ANNE',6
ANNIBALDIS,6
ARDITI,6
AVENTAGGIATO,6
AZURRETTO,6
BALACCO,6
BATESAR,6
BATTAGLINI,6
BELLANTONE,6
BELTRAN,6
BENFATTO,6
BERISA,6
BIASI,6
BIFFARO,6
BISCOZZO,6
BITETTI,6
BOCHICCHIO,6
BOCI,6
BOLLINO,6
BONAVOGLIA,6
BONO,6
BONOCUORE,6
BOZZI,6
BRAI',6
CACCIAPAGLIA,6
CALVARA,6
CAMERINO,6
CAMODECA,6
CAMPAGNA,6
CANCELLI,6
CANTORE,6
CARICHINO,6
CARLONE,6
CARPARELLI,6
CARRA',6
CARRAFA,6
CARRAPA,6
CASCELLA,6
CATAMO,6
CAUSIO,6
CELLA,6
CERA,6
CERASO,6
CERBINO,6
CESARIO,6
CHIURI,6
CICCARDI,6
CIPPONE,6
CIRACI,6
CONTEGIACOMO,6
CONTI,6
CONVENGA,6
CORSETTI,6
CORSO,6
CORTELLINO,6
COVELLA,6
DAFF,6
DAGA,6
DAL MASO,6
D'ALEMA,6
D'ALOIA,6
D'AMANZO,6
D'AMICIS,6
D'AMONE,6
D'ANGELA,6
DARDHA,6
DAZZI,6
DE BARTOLOMEIS,6
DE BENEDICTIS,6
DE CAMPI,6
DE FALCO,6
DE FORTUNATIS,6
DE FRANCISCIS,6
DE LUCA ANDRIOLI,6
DE NISI,6
DE NITTI,6
DE OLIVEIRA,6
DE SALVE,6
DE SPIRITO,6
DE STRADIS,6
DE VITOFRANCESCHI,6
DEL GENIO,6
DEL RE,6
DEL VITTO,6
DELLA CIANA,6
DELLISANTI,6
DEMETRIO,6
DENTI,6
DEVI,6
DI BARI,6
DI CAPRIO,6
DI GIOIA,6
DI LAURO,6
DI NUNNO,6
DI PALMA,6
DI PIETRANTONIO,6
DI SABATO,6
DI TEO,6
DI TONNO,6
DIAW,6
DIBRA,6
DIEYE,6
DIMAGGIO,6
DIPALMA,6
DISTRATIS,6
DONG,6
DONVITO,6
ELISABETTI,6
FABIANO,6
FANCIANO,6
FANIGLIULO,6
FARACHI,6
FARENGA,6
FARI',6
FARINA,6
FAZI,6
FELICE,6
FERI',6
FERRAIOLI,6
FINAMORE,6
FIORESINO,6
FLASCASSOVITTI,6
FONTO',6
FORMISANO,6
FORNARI,6
FORZALE,6
FRIGINO,6
FRISULLI,6
FRONTINI,6
FUMAROLA MAURO,6
FUNARO,6
GAETA,6
GALELLA,6
GALGANO,6
GIACHERY,6
GIRARDI,6
GIULIANI,6
GUADAGNO,6
GUADALUPI,6
GUBELLO,6
GUERCIA SAMMARCO,6
HAKA,6
HAOUARI,6
HEKURI,6
IAIA,6
IANNACCONE,6
INDOLFI,6
INTREPIDO,6
IRSHAD,6
ISCERI,6
ISLAM,6
IZZO,6
KECI,6
LAL,6
LAMBERTI,6
LANZILLOTTO,6
LANZO,6
LAPENNA,6
LATO,6
LAZZARETTI,6
LEGGIO,6
LEVANTE,6
LOCHI,6
LORENZETTI,6
LU,6
LUCARELLA,6
LUCREZIO,6
LUGLI,6
LUNETTI,6
MACALINDOL,6
MACCULI,6
MAGLI,6
MAHALINGAM,6
MANGIONE,6
MANIBO,6
MANISCO,6
MANZARI,6
MAPPA,6
MARAMOT,6
MARANGI,6
MARAZITA,6
MARIANI,6
MARIANO MARIANO,6
MARINI,6
MARRONE,6
MATARRELLI,6
MATARRESE,6
MATINO,6
MATURO,6
MAURI,6
MAZZONE,6
MEGA,6
MELPIGNANO,6
MEZZAPESA,6
MIGNONE,6
MIHALACHE,6
MILITO,6
MINERBA,6
MININNI,6
MISCIALI,6
MITARITONNA,6
MITIDIERI,6
MIZZI,6
MOLDOVAN,6
MOLLICA,6
MONTEDORO,6
MONTEMURRO,6
MORANO,6
MURRI DELLO DIAGO,6
NAPA,6
NIAZI,6
NIELLI,6
NONE,6
NOVEMBRINO,6
NUTRICATI,6
OLITA,6
OTTAVIANO,6
PAGLIA,6
PALESE,6
PALOMBA,6
PANARELLI,6
PAPPALARDO,6
PARACELLI,6
PARAMESWARAN,6
PATERNOSTO,6
PATICCHIO,6
PELLICANO,6
PENDINELLI,6
PENSA,6
PERAGO,6
PEREZ,6
PETRALIA,6
PETROSINO,6
PICCOLI,6
PICHIERRI,6
PICINNI LEOPARDI,6
PIRELLI,6
PISCOPELLO,6
POCI,6
POLETI',6
POLITANO,6
POMARICO,6
POPA,6
PORTOLANO,6
PRATOLINI,6
PREDICATORE,6
QUINTANA,6
RAMANAJ,6
RENZI,6
RINI,6
RISO,6
RITO,6
RIVA,6
ROLLI,6
SABATINO,6
SABUR,6
SACCOMANDI,6
SALL,6
SALVEMINI,6
SANCES,6
SANGIORGI,6
SARACENO,6
SARDELLA,6
SCALIA,6
SCARAMUZZA,6
SCARATI,6
SCARPELLO,6
SCHIFONE,6
SCIARRA,6
SCOGNA,6
SCOLARICI,6
SECONDO,6
SELLANI,6
SELVARAJAH,6
SELVARATNAM,6
SEYE,6
SFILIO,6
SGARRA,6
SHAMETI,6
SHU,6
SICILIANI,6
SILVONE,6
SMILES,6
SOLIDO,6
SORGE,6
SORGENTE,6
SPAGNULO,6
SPIRI,6
STAFFIERO,6
STOPPA,6
TAGLIENTE,6
TALENTO,6
TAMBLE',6
TAMBOIA,6
TANCORRA,6
TANCREDI,6
TANZI,6
TECCI,6
THIAM,6
TOLENTINO,6
TOMINO,6
TORTELLI,6
TRANE,6
TRESI,6
TRITTO,6
TROYSE,6
TUFANO,6
TUZZO,6
URSELLI,6
VALENTE RENDA,6
VALZANI,6
VASQUEZ GIULIANO,6
VASTA,6
VELLA,6
VERDICCHIA,6
VERI,6
VIGGIANI,6
VIGNOLA,6
VISAYA,6
ZALAMEDA,6
ZHAO,6
ZICHELLA,6
ZUCCALA',6
ZURLO,6
ABADIANNI,5
ABAZI,5
ACCAMANTE,5
ADABBO,5
AGRIFANI,5
AHMETAJ,5
AHMETOVIC,5
AHROUD,5
ALAIBAC,5
ALMIENTO,5
AMAZONA,5
AMBROSIO,5
AMODIO,5
ANCONA,5
ANGELOZZI,5
ANTONI,5
ANZELMO,5
APREA,5
ARBRI,5
ARELLANO ARELLANO,5
ARGENTIERI,5
ARIGLIANO,5
ARIMA,5
ASCENZO,5
AVELLIS,5
AZHAR,5
AZZOLINI,5
BALOCCHI,5
BARBANTE,5
BARILLARI,5
BARNABA,5
BARSIWAL,5
BASURTO,5
BERARDELLI,5
BERARDI,5
BERARDINI,5
BERNARDI,5
BERRETTA,5
BERSANI,5
BERTI,5
BESOZZI,5
BIONDINO,5
BOCCARELLA,5
BODINI,5
BONANNO,5
BONOMO,5
BORSETTI,5
BOSCAINO,5
BOUALI,5
BRAMBILLA,5
BRAMBILLA PISONI,5
BRANCASI,5
BRANCO,5
BRANDINI,5
BRINGIOTTI,5
CABELLONE,5
CABIBBO,5
CACCHIONE,5
CAGGIANO,5
CAIFFA,5
CALCAGNI,5
CAMILLI,5
CAMPANILE,5
CAMPEGGIO,5
CANDELIERI,5
CANDITA,5
CANNARILE,5
CAPILONGO,5
CAPRISTO,5
CAPUZZELLO,5
CARBOTTA,5
CARDIGNAN,5
CARLONI,5
CAROFIGLIO,5
CASINI,5
CASOLE,5
CASSATELLA,5
CASTALDO,5
CASTELLO,5
CATANZARITI,5
CAUSHI,5
CAVOTA,5
CELA,5
CERASA,5
CERASUOLO,5
CERVINARA,5
CERVINO,5
CERVO,5
CEZZI,5
CHANTHIRAKANTHAN,5
CHERIN,5
CHIANURA,5
CHIAPPINI,5
CHIAVACCI,5
CHIECO,5
CHIESA,5
CIARDI,5
CICIRIELLO,5
CIOCIA,5
CIPRESSA,5
CIRA,5
CITISO,5
CLARY,5
CLODOMIRO,5
COBUZZI,5
COCCI,5
COLTELLACCI,5
COMPAGNONE,5
CONSERVA,5
CONSOLE,5
CONSOLI,5
CONZ,5
COPPONE,5
CORBELLINI,5
CORBISIERO,5
CORINI,5
CORRENTE,5
CORSINO,5
CORTEZ,5
COSTAGLIOLA,5
COZZA,5
CRAMIS,5
CRESPINI,5
CRISTOFARO,5
CRUCIATO,5
CULUBE,5
CUPRI,5
CURLANTE,5
DABERTO,5
DADHICH,5
D'AGATA,5
DAGGIANO,5
DAHNI,5
DAIYA,5
D'ALESSIO,5
DAMICO,5
D'ANCA,5
D'ANDRADE,5
D'ARMENTO,5
DATTILO,5
DE FAZIO,5
DE FRANCESCHI,5
DE MAURI,5
DE MEO,5
DE METRIO,5
DE NICOLA,5
DE NUCCIO,5
DE RHEGZY,5
DE SABATO,5
DE SOUZA,5
DE TOMASI,5
DECILLIS,5
DEGLIANGELI,5
DEL CORE,5
DEL CUORE,5
DELIA,5
DELL'AVVOCATA,5
DEMARINIS,5
DESPOTO,5
DETA,5
DI CAMPI,5
DI CARLO,5
DI CASTRI,5
DI GESU',5
DI GIACOMO,5
DI MARZO,5
DI NAPOLI,5
DIMARTINO,5
DISTEFANO,5
DONNANTONIO,5
D'ORAZIO,5
DORONZO,5
DURANTE MARGIOTTA,5
EL HASSOUNY,5
EPICOCHI,5
ESLABON,5
ESPOSTO,5
FABBRI,5
FAMA',5
FANULI,5
FARI,5
FARINELLA,5
FELICELLA,5
FERKO,5
FERRECCHIA,5
FICCO,5
FIERARU,5
FILIPPI FILIPPI,5
FILOGRANO,5
FIORDALISO,5
FIORDIGIGLIO,5
FISICARO,5
FORTU,5
FOSCHETTI,5
FRANZUTTI,5
FRESTO,5
FRUSCI,5
FUSILLO,5
GALLOSO,5
GANESHALINGAM,5
GARRAMONE,5
GARZILLI,5
GAUDINO,5
GELPI,5
GESMUNDO,5
GESUALDO,5
GIANFRATE,5
GIANNICO,5
GIANSANTE,5
GIARDINA,5
GILENARDI,5
GISMONDI,5
GIURANNA,5
GIURANNO,5
GRATTAGLIANO,5
GROSSI,5
GUADADIELLO,5
GUSELLA,5
GUZZO FOLIARO,5
HABIBY,5
HAMZAJ,5
HITAJ,5
HOSSAIN,5
IACONISI,5
IACONO,5
IDONE,5
IGGINOSA,5
INDENNITATE,5
INGROSSI,5
IUDICI,5
JI,5
KHOUNDAFI,5
KRASNIQI,5
KUMARAKULASINGAM,5
LA MARCA,5
LA MAZZA,5
LACAP,5
LARICCIA,5
LARINI,5
LAZARI,5
LEFONSO,5
LEGGIERO,5
LEITE FERREIRA,5
LEMENTINI,5
LERARIO,5
LIBRALE,5
LIMETTI,5
LIQUORI,5
LISO,5
LO PRESTI,5
LOCATO,5
LOCCI,5
LODESERTO,5
LOI,5
LOPEZ,5
LOSACCO,5
LOSAVIO,5
LUCA,5
LUPINACCI,5
LUZIO,5
MA,5
MAAROUFI,5
MADERAZO,5
MAJOLO,5
MANELLI,5
MANGELI,5
MANUNZA,5
MARINAY,5
MARSINI,5
MASSETTI,5
MASTROPASQUA,5
MASTROTOTARO,5
MATRANGA,5
MAURIZI,5
MAURIZIO,5
MAZZARELLO,5
MELILLO,5
MELLACCA,5
MENDOZA,5
MENON,5
MEQDAD,5
MERBO,5
MERO,5
MILEO,5
MINELLI,5
MOCCIA,5
MODUGNO,5
MOHAMMAD,5
MOMOH,5
MONTILLO,5
MORALE,5
MORETTO,5
MUCCIO,5
MUKA,5
MUNTEANU,5
MUOLO,5
MURARIU,5
MUSAI,5
MYRTO,5
NACCARATO,5
NACHIRA,5
NAGULESWARAN,5
NANTHAKUMAR,5
NAPOLETANO,5
NISTRI,5
NUSHI,5
OCCHILUPO,5
OCCHINEGRO,5
OLINELLI,5
OMERI,5
ORGIATO,5
ORSINI,5
OTRANTO,5
PACCIOLLA,5
PACENTRILLI,5
PADULI,5
PALLADINO,5
PALMA MODONI,5
PALUMBO CAPOZZA,5
PAMPO,5
PANKIEWICZ,5
PANWAR,5
PAPARELLA,5
PAPARUSSO,5
PARLATI,5
PATAVIA,5
PATTOCCHIO,5
PAULER,5
PECERE,5
PEDALI,5
PERNA,5
PETRELLA,5
PEZZOLLA,5
PICANI,5
PICCI,5
PICONESE,5
PIERONI,5
PINNA,5
PINNARO',5
PISCOPO,5
PITARDI,5
PIZZINO,5
POLINI,5
PONTRELLI,5
PONZANO,5
POTO,5
POVIA,5
PRAJAPAT,5
PRANZO ZACCARIA,5
PRATHEES,5
PRENCE,5
PRESICCI,5
PRISCIANO,5
PUGLIA,5
RAGOSTA,5
RAGOZZINO,5
RAKIPI,5
